Nom;Année;Bois;Carton;Papier;Déchets dangereux;DEEE;Amiante;Batteries;Cartouches d'encre;Extincteurs;Huile;Pneumatiques;Déchets verts;Ferraille;Gravats;Mobilier;Ré-emploi;Textiles;Tout-venant;Verre
Déchèterie Saint Jean de Boiseau;2014;206.0;87.0;86.0;17.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1553.0;30.0;1917.0;0.0;4.0;1.0;1181.0;190.0
Déchèterie Vertou;2014;750.0;279.0;97.0;39.0;156.0;0.0;2.0;0.0;0.0;9.0;0.0;4428.0;142.0;3485.0;107.0;68.0;45.0;2346.0;216.0
Ecopoint La Beaujoire;2014;0.0;56.0;0.0;8.0;74.0;0.0;1.0;0.0;0.0;3.0;0.0;426.0;45.0;0.0;0.0;0.0;14.0;387.0;0.0
Ecopoint Viarme;2014;0.0;100.0;127.0;18.0;125.0;0.0;0.0;1.0;0.0;0.0;0.0;417.0;116.0;0.0;0.0;0.0;68.0;866.0;0.0
Déchèterie Vertou;2015;622.0;263.0;99.0;36.0;196.0;0.0;0.0;0.0;0.0;7.0;0.0;3515.0;175.0;2714.0;206.0;66.0;62.0;1771.0;223.0
Ecopoint Les Dervallières;2015;5.0;46.0;0.0;12.0;65.0;0.0;0.0;0.0;0.0;1.0;0.0;416.0;58.0;0.0;0.0;0.0;25.0;356.0;0.0
Ecopoint Viarme;2015;0.0;98.0;69.0;16.0;120.0;0.0;0.0;0.0;0.0;1.0;0.0;374.0;115.0;0.0;0.0;0.0;61.0;758.0;0.0
Déchèterie Saint Jean de Boiseau;2016;390.36;93.46;37.79;23.82;0.0;0.0;0.0;0.0;0.0;8.28;0.0;1502.72;124.0;1648.18;0.0;1.69;0.16;1074.56;133.94
Ecopoint La Beaujoire;2016;0.0;53.54;0.0;5.07;76.83;0.0;0.86;0.18;0.0;2.7;0.0;384.66;56.35;0.0;0.0;0.0;21.28;326.44;0.0
Déchèterie Mauves sur Loire;2017;81.32;30.48;0.0;1.91;0.0;1.14;0.0;0.0;0.0;1.44;0.0;579.18;25.46;217.62;0.0;0.0;0.71;208.78;75.94
Déchèterie Vertou;2017;599.04;289.16;107.09;37.0;223.94;0.0;1.03;0.08;0.0;10.17;0.0;3539.16;234.12;2466.16;328.12;101.07;30.44;1849.76;279.35
Déchèterie Rezé;2012;1016.0;299.0;93.0;44.0;125.0;0.0;8.0;0.0;0.0;13.0;0.0;4214.0;137.0;4754.0;0.0;0.0;11.0;2898.0;243.0
Déchèterie Saint Jean de Boiseau;2012;238.0;91.0;104.0;19.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1325.0;33.0;1752.0;0.0;10.0;3.0;1006.0;132.0
Déchèterie Saint Sébastien;2012;845.0;245.0;104.0;36.0;175.0;0.0;0.0;0.0;0.0;10.0;0.0;4418.0;73.0;4701.0;0.0;0.0;21.0;2771.0;132.0
Ecopoint Les Dervallières;2012;0.0;46.0;0.0;10.0;34.0;0.0;1.0;0.0;0.0;1.0;0.0;372.0;9.0;0.0;0.0;0.0;14.0;374.0;0.0
